"","vector","type","label","units","parent_vector","aggregation","details"
"1078","v_CA21_1270","Total","Algonquian languages, n.i.e.","Number","v_CA21_1195","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Algonquian languages; Algonquian languages, n.i.e."
"1079","v_CA21_1271","Male","Algonquian languages, n.i.e.","Number","v_CA21_1196","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Algonquian languages; Algonquian languages, n.i.e."
"1080","v_CA21_1272","Female","Algonquian languages, n.i.e.","Number","v_CA21_1197","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Algonquian languages; Algonquian languages, n.i.e."
"1081","v_CA21_1273","Total","Athabaskan languages","Number","v_CA21_1192","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages"
"1082","v_CA21_1274","Male","Athabaskan languages","Number","v_CA21_1193","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages"
"1083","v_CA21_1275","Female","Athabaskan languages","Number","v_CA21_1194","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages"
"1084","v_CA21_1276","Total","Northern Athabaskan languages","Number","v_CA21_1273","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages"
"1085","v_CA21_1277","Male","Northern Athabaskan languages","Number","v_CA21_1274","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages"
"1086","v_CA21_1278","Female","Northern Athabaskan languages","Number","v_CA21_1275","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages"
"1087","v_CA21_1279","Total","Dakelh (Carrier)","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Dakelh (Carrier)"
"1088","v_CA21_1280","Male","Dakelh (Carrier)","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Dakelh (Carrier)"
"1089","v_CA21_1281","Female","Dakelh (Carrier)","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Dakelh (Carrier)"
"1090","v_CA21_1282","Total","Dane-zaa (Beaver)","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Dane-zaa (Beaver)"
"1091","v_CA21_1283","Male","Dane-zaa (Beaver)","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Dane-zaa (Beaver)"
"1092","v_CA21_1284","Female","Dane-zaa (Beaver)","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Dane-zaa (Beaver)"
"1093","v_CA21_1285","Total","Dene, n.o.s.","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Dene, n.o.s."
"1094","v_CA21_1286","Male","Dene, n.o.s.","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Dene, n.o.s."
"1095","v_CA21_1287","Female","Dene, n.o.s.","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Dene, n.o.s."
"1096","v_CA21_1288","Total","Gwich'in","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Gwich'in"
"1097","v_CA21_1289","Male","Gwich'in","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Gwich'in"
"1098","v_CA21_1290","Female","Gwich'in","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Gwich'in"
"1099","v_CA21_1291","Total","Slavey-Hare languages","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages"
"1100","v_CA21_1292","Male","Slavey-Hare languages","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages"
"1101","v_CA21_1293","Female","Slavey-Hare languages","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages"
"1102","v_CA21_1294","Total","Deh Gah Ghotie Zhatie (South Slavey)","Number","v_CA21_1291","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages; Deh Gah Ghotie Zhatie (South Slavey)"
"1103","v_CA21_1295","Male","Deh Gah Ghotie Zhatie (South Slavey)","Number","v_CA21_1292","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages; Deh Gah Ghotie Zhatie (South Slavey)"
"1104","v_CA21_1296","Female","Deh Gah Ghotie Zhatie (South Slavey)","Number","v_CA21_1293","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages; Deh Gah Ghotie Zhatie (South Slavey)"
"1105","v_CA21_1297","Total","Satuotine Yati (North Slavey)","Number","v_CA21_1291","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages; Satuotine Yati (North Slavey)"
"1106","v_CA21_1298","Male","Satuotine Yati (North Slavey)","Number","v_CA21_1292","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages; Satuotine Yati (North Slavey)"
"1107","v_CA21_1299","Female","Satuotine Yati (North Slavey)","Number","v_CA21_1293","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages; Satuotine Yati (North Slavey)"
"1108","v_CA21_1300","Total","Slavey, n.o.s.","Number","v_CA21_1291","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages; Slavey, n.o.s."
"1109","v_CA21_1301","Male","Slavey, n.o.s.","Number","v_CA21_1292","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages; Slavey, n.o.s."
"1110","v_CA21_1302","Female","Slavey, n.o.s.","Number","v_CA21_1293","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Slavey-Hare languages; Slavey, n.o.s."
"1111","v_CA21_1303","Total","Tahltan languages","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tahltan languages"
"1112","v_CA21_1304","Male","Tahltan languages","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tahltan languages"
"1113","v_CA21_1305","Female","Tahltan languages","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tahltan languages"
"1114","v_CA21_1306","Total","Kaska (Nahani)","Number","v_CA21_1303","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tahltan languages; Kaska (Nahani)"
"1115","v_CA21_1307","Male","Kaska (Nahani)","Number","v_CA21_1304","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tahltan languages; Kaska (Nahani)"
"1116","v_CA21_1308","Female","Kaska (Nahani)","Number","v_CA21_1305","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tahltan languages; Kaska (Nahani)"
"1117","v_CA21_1309","Total","Tahltan","Number","v_CA21_1303","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tahltan languages; Tahltan"
"1118","v_CA21_1310","Male","Tahltan","Number","v_CA21_1304","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tahltan languages; Tahltan"
"1119","v_CA21_1311","Female","Tahltan","Number","v_CA21_1305","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tahltan languages; Tahltan"
"1120","v_CA21_1312","Total","Tlicho (Dogrib)","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tlicho (Dogrib)"
"1121","v_CA21_1313","Male","Tlicho (Dogrib)","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tlicho (Dogrib)"
"1122","v_CA21_1314","Female","Tlicho (Dogrib)","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tlicho (Dogrib)"
"1123","v_CA21_1315","Total","Tse'khene (Sekani)","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tse'khene (Sekani)"
"1124","v_CA21_1316","Male","Tse'khene (Sekani)","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tse'khene (Sekani)"
"1125","v_CA21_1317","Female","Tse'khene (Sekani)","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tse'khene (Sekani)"
"1126","v_CA21_1318","Total","Tsilhqot'in (Chilcotin)","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tsilhqot'in (Chilcotin)"
"1127","v_CA21_1319","Male","Tsilhqot'in (Chilcotin)","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tsilhqot'in (Chilcotin)"
"1128","v_CA21_1320","Female","Tsilhqot'in (Chilcotin)","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tsilhqot'in (Chilcotin)"
"1129","v_CA21_1321","Total","Tsuu T'ina (Sarsi)","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tsuu T'ina (Sarsi)"
"1130","v_CA21_1322","Male","Tsuu T'ina (Sarsi)","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tsuu T'ina (Sarsi)"
"1131","v_CA21_1323","Female","Tsuu T'ina (Sarsi)","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tsuu T'ina (Sarsi)"
"1132","v_CA21_1324","Total","Tutchone languages","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages"
"1133","v_CA21_1325","Male","Tutchone languages","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages"
"1134","v_CA21_1326","Female","Tutchone languages","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages"
"1135","v_CA21_1327","Total","Northern Tutchone","Number","v_CA21_1324","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages; Northern Tutchone"
"1136","v_CA21_1328","Male","Northern Tutchone","Number","v_CA21_1325","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages; Northern Tutchone"
"1137","v_CA21_1329","Female","Northern Tutchone","Number","v_CA21_1326","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages; Northern Tutchone"
"1138","v_CA21_1330","Total","Southern Tutchone","Number","v_CA21_1324","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages; Southern Tutchone"
"1139","v_CA21_1331","Male","Southern Tutchone","Number","v_CA21_1325","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages; Southern Tutchone"
"1140","v_CA21_1332","Female","Southern Tutchone","Number","v_CA21_1326","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages; Southern Tutchone"
"1141","v_CA21_1333","Total","Tutchone, n.o.s.","Number","v_CA21_1324","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages; Tutchone, n.o.s."
"1142","v_CA21_1334","Male","Tutchone, n.o.s.","Number","v_CA21_1325","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages; Tutchone, n.o.s."
"1143","v_CA21_1335","Female","Tutchone, n.o.s.","Number","v_CA21_1326","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Tutchone languages; Tutchone, n.o.s."
"1144","v_CA21_1336","Total","Wetsuwet'en-Babine","Number","v_CA21_1276","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Wetsuwet'en-Babine"
"1145","v_CA21_1337","Male","Wetsuwet'en-Babine","Number","v_CA21_1277","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Wetsuwet'en-Babine"
"1146","v_CA21_1338","Female","Wetsuwet'en-Babine","Number","v_CA21_1278","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Northern Athabaskan languages; Wetsuwet'en-Babine"
"1147","v_CA21_1339","Total","Tlingit","Number","v_CA21_1273","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Tlingit"
"1148","v_CA21_1340","Male","Tlingit","Number","v_CA21_1274","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Tlingit"
"1149","v_CA21_1341","Female","Tlingit","Number","v_CA21_1275","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Tlingit"
"1150","v_CA21_1342","Total","Athabaskan languages, n.i.e.","Number","v_CA21_1273","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Athabaskan languages, n.i.e."
"1151","v_CA21_1343","Male","Athabaskan languages, n.i.e.","Number","v_CA21_1274","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Athabaskan languages, n.i.e."
"1152","v_CA21_1344","Female","Athabaskan languages, n.i.e.","Number","v_CA21_1275","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Athabaskan languages; Athabaskan languages, n.i.e."
"1153","v_CA21_1345","Total","Haida","Number","v_CA21_1192","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Haida"
"1154","v_CA21_1346","Male","Haida","Number","v_CA21_1193","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Haida"
"1155","v_CA21_1347","Female","Haida","Number","v_CA21_1194","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Haida"
"1156","v_CA21_1348","Total","Inuktut (Inuit) languages","Number","v_CA21_1192","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages"
"1157","v_CA21_1349","Male","Inuktut (Inuit) languages","Number","v_CA21_1193","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages"
"1158","v_CA21_1350","Female","Inuktut (Inuit) languages","Number","v_CA21_1194","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages"
"1159","v_CA21_1351","Total","Inuinnaqtun (Inuvialuktun)","Number","v_CA21_1348","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuinnaqtun (Inuvialuktun)"
"1160","v_CA21_1352","Male","Inuinnaqtun (Inuvialuktun)","Number","v_CA21_1349","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuinnaqtun (Inuvialuktun)"
"1161","v_CA21_1353","Female","Inuinnaqtun (Inuvialuktun)","Number","v_CA21_1350","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuinnaqtun (Inuvialuktun)"
"1162","v_CA21_1354","Total","Inuinnaqtun","Number","v_CA21_1351","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuinnaqtun (Inuvialuktun); Inuinnaqtun"
"1163","v_CA21_1355","Male","Inuinnaqtun","Number","v_CA21_1352","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuinnaqtun (Inuvialuktun); Inuinnaqtun"
"1164","v_CA21_1356","Female","Inuinnaqtun","Number","v_CA21_1353","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuinnaqtun (Inuvialuktun); Inuinnaqtun"
"1165","v_CA21_1357","Total","Inuvialuktun","Number","v_CA21_1351","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuinnaqtun (Inuvialuktun); Inuvialuktun"
"1166","v_CA21_1358","Male","Inuvialuktun","Number","v_CA21_1352","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuinnaqtun (Inuvialuktun); Inuvialuktun"
"1167","v_CA21_1359","Female","Inuvialuktun","Number","v_CA21_1353","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuinnaqtun (Inuvialuktun); Inuvialuktun"
"1168","v_CA21_1360","Total","Inuktitut","Number","v_CA21_1348","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuktitut"
"1169","v_CA21_1361","Male","Inuktitut","Number","v_CA21_1349","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuktitut"
"1170","v_CA21_1362","Female","Inuktitut","Number","v_CA21_1350","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuktitut"
"1171","v_CA21_1363","Total","Inuktut (Inuit) languages, n.i.e.","Number","v_CA21_1348","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuktut (Inuit) languages, n.i.e."
"1172","v_CA21_1364","Male","Inuktut (Inuit) languages, n.i.e.","Number","v_CA21_1349","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuktut (Inuit) languages, n.i.e."
"1173","v_CA21_1365","Female","Inuktut (Inuit) languages, n.i.e.","Number","v_CA21_1350","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Inuktut (Inuit) languages; Inuktut (Inuit) languages, n.i.e."
"1174","v_CA21_1366","Total","Iroquoian languages","Number","v_CA21_1192","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Iroquoian languages"
"1175","v_CA21_1367","Male","Iroquoian languages","Number","v_CA21_1193","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Iroquoian languages"
"1176","v_CA21_1368","Female","Iroquoian languages","Number","v_CA21_1194","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Iroquoian languages"
"1177","v_CA21_1369","Total","Cayuga","Number","v_CA21_1366","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Iroquoian languages; Cayuga"
"1178","v_CA21_1370","Male","Cayuga","Number","v_CA21_1367","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Iroquoian languages; Cayuga"
"1179","v_CA21_1371","Female","Cayuga","Number","v_CA21_1368","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Iroquoian languages; Cayuga"
"1180","v_CA21_1372","Total","Mohawk","Number","v_CA21_1366","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Iroquoian languages; Mohawk"
"1181","v_CA21_1373","Male","Mohawk","Number","v_CA21_1367","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Iroquoian languages; Mohawk"
"1182","v_CA21_1374","Female","Mohawk","Number","v_CA21_1368","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Iroquoian languages; Mohawk"
"1183","v_CA21_1375","Total","Oneida","Number","v_CA21_1366","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Iroquoian languages; Oneida"
"1184","v_CA21_1376","Male","Oneida","Number","v_CA21_1367","Additive","CA 2021 Census; 100% data; Language; Mother tongue for the total population excluding institutional residents; Single responses; Non-official languages; Indigenous languages; Iroquoian languages; Oneida"
